date,sejrik,mencik2,Mates511,ominar
2017-04-20,48,56,0,0
2017-04-21,48,56,0,0
2017-04-22,48,56,0,0
2017-04-23,48,56,0,0
2017-04-24,48,57,0,0
2017-04-25,48,57,0,0
2017-04-26,48,57,0,0
2017-04-27,48,57,0,0
2017-04-28,48,57,0,0
2017-04-29,48,57,0,0
2017-04-30,48,57,0,0
2017-05-01,48,57,0,0
2017-05-02,48,57,0,0
2017-05-03,48,57,0,0
2017-05-04,48,57,0,0
2017-05-05,48,57,0,0
2017-05-06,48,57,0,0
2017-05-07,48,57,0,0
2017-05-08,48,57,0,0
2017-05-09,48,57,0,0
2017-05-10,48,57,0,0
2017-05-11,48,57,0,0
2017-05-12,48,57,0,0
2017-05-13,48,57,0,0
2017-05-14,48,57,0,0
2017-05-15,50,57,0,0
2017-05-16,50,57,0,0
2017-05-17,50,57,0,0
2017-05-18,50,57,0,0
2017-05-19,50,57,0,0
2017-05-20,50,57,0,0
2017-05-21,50,57,0,0
2017-05-22,52,57,0,0
2017-05-23,52,57,0,0
2017-05-24,52,57,0,0
2017-05-25,52,57,0,0
2017-05-26,52,57,0,0
2017-05-27,52,57,0,0
2017-05-28,52,57,0,0
2017-05-29,52,57,0,0
2017-05-30,52,57,0,0
2017-05-31,52,57,0,0
2017-06-01,52,57,0,0
2017-06-02,52,57,0,0
2017-06-03,52,57,0,0
2017-06-04,52,57,0,0
2017-06-05,52,57,0,0
2017-06-06,52,57,0,0
2017-06-07,52,57,0,0
2017-06-08,52,57,0,0
2017-06-09,52,57,0,0
2017-06-10,52,57,0,0
2017-06-11,52,57,0,0
2017-06-12,53,57,0,0
2017-06-13,53,57,0,0
2017-06-14,53,57,0,0
2017-06-15,53,57,0,0
2017-06-16,53,57,0,0
2017-06-17,53,57,0,0
2017-06-18,53,57,0,0
2017-06-19,53,57,0,0
2017-06-20,53,57,0,0
2017-06-21,53,57,0,0
2017-06-22,53,57,0,0
2017-06-23,53,57,0,0
2017-06-24,53,57,0,0
2017-06-25,53,57,0,0
2017-06-26,53,57,0,0
2017-06-27,53,57,0,0
2017-06-28,53,57,0,0
2017-06-29,53,57,0,0
2017-06-30,53,57,0,0
2017-07-01,53,57,0,0
2017-07-02,53,57,0,0
2017-07-03,53,57,0,0
2017-07-04,53,57,0,0
2017-07-05,53,57,0,0
2017-07-06,54,57,0,0
2017-07-07,54,57,0,0
2017-07-08,54,58,0,0
2017-07-09,54,58,0,0
2017-07-10,54,58,0,0
2017-07-11,54,58,0,0
2017-07-12,54,58,0,0
2017-07-13,54,58,0,0
2017-07-14,54,58,0,0
2017-07-15,54,58,0,0
2017-07-16,54,58,0,0
2017-07-17,54,58,0,0
2017-07-18,54,58,0,0
2017-07-19,54,58,0,0
2017-07-20,54,58,0,0
2017-07-21,54,58,0,0
2017-07-22,54,58,0,0
2017-07-23,54,58,0,0
2017-07-24,54,58,0,0
2017-07-25,54,58,0,0
2017-07-26,54,59,0,0
2017-07-27,54,59,0,0
2017-07-28,54,59,0,0
2017-07-29,54,59,0,0
2017-07-30,54,59,0,0
2017-07-31,54,59,0,0
2017-08-01,54,59,0,0
2017-08-02,54,59,0,0
2017-08-03,54,59,0,0
2017-08-04,54,59,0,0
2017-08-05,54,59,0,0
2017-08-06,54,59,0,0
2017-08-07,54,59,0,0
2017-08-08,54,59,0,0
2017-08-09,54,59,0,0
2017-08-10,54,59,0,0
2017-08-11,54,59,0,0
2017-08-12,54,59,0,0
2017-08-13,54,59,0,0
2017-08-14,54,59,0,0
